,Unnamed: 0,0,85,86,87,88,1886,1887,"Under $50,000","$50,000 - $100,000","$100,000 and over","$200,000 and over",Post Secondary Degree,Bachelor level or above,NO EDU,Secondary school or equivalent,Trades certificate
0,Characteristic,Neighbourhood Number,  2 persons,  3 persons,  4 persons,  5 or more persons,    Employed,    Unemployed,"Under $50,000","$50,000 - $100,000","$100,000 and over","$200,000 and over",Post Secondary Degree,Bachelor level or above,"  No certificate, diploma or degree-NO EDU",  Secondary (high) school diploma or equivalency certificate- HIGH SCHOOL EDU,      Trades certificate or diploma other than Certificate of Apprenticeship or Certificate of Qualification- TRADE CERTIF
1,City of Toronto,,344110.0,174600.0,143250.0,56795.0,1361375.0,122305.0,386930.0,342375.0,343520.0,96600.0,468040.0,1424440.0,377340.0,561090.0,53060.0
2,Agincourt North,129.0,3570.0,2390.0,1875.0,605.0,12510.0,1360.0,3310.0,3175.0,2505.0,325.0,4690.0,10480.0,6550.0,7460.0,505.0
3,Agincourt South-Malvern West,128.0,2970.0,1835.0,1325.0,520.0,10855.0,1185.0,2975.0,2925.0,2030.0,285.0,4130.0,10255.0,4035.0,6090.0,375.0
4,Alderwood,20.0,1605.0,900.0,755.0,220.0,6405.0,415.0,1240.0,1480.0,1915.0,360.0,2670.0,4075.0,2005.0,2960.0,345.0
5,Annex,95.0,4475.0,1195.0,805.0,215.0,17305.0,1250.0,4970.0,4015.0,5895.0,2670.0,3580.0,26685.0,1585.0,4270.0,265.0
6,Banbury-Don Mills,42.0,3925.0,1760.0,1500.0,435.0,13010.0,1010.0,3435.0,3855.0,4615.0,1750.0,4630.0,18150.0,2295.0,5150.0,450.0
7,Bathurst Manor,34.0,1945.0,1115.0,925.0,320.0,8000.0,620.0,1930.0,1830.0,2025.0,515.0,2865.0,8530.0,1665.0,3390.0,345.0
8,Bay Street Corridor,76.0,3550.0,965.0,485.0,105.0,13455.0,1535.0,4985.0,3780.0,3600.0,1105.0,2240.0,24140.0,700.0,5740.0,155.0
9,Bayview Village,52.0,3255.0,1570.0,980.0,255.0,10965.0,910.0,2990.0,2935.0,3010.0,855.0,3750.0,16360.0,1310.0,3680.0,215.0
10,Bayview Woods-Steeles,49.0,1790.0,1005.0,790.0,210.0,5720.0,495.0,1450.0,1390.0,1830.0,580.0,2105.0,8590.0,1295.0,2385.0,255.0
11,Bedford Park-Nortown,39.0,2425.0,1190.0,1565.0,885.0,11185.0,650.0,1805.0,1860.0,4745.0,2915.0,2815.0,16005.0,1985.0,3815.0,310.0
12,Beechborough-Greenbrook,112.0,830.0,490.0,300.0,135.0,2765.0,355.0,1385.0,780.0,430.0,60.0,1330.0,1130.0,1605.0,1515.0,195.0
13,Bendale,127.0,3610.0,1915.0,1460.0,885.0,13020.0,1255.0,3850.0,3735.0,2625.0,275.0,5375.0,11270.0,4750.0,7605.0,590.0
14,Birchcliffe-Cliffside,122.0,2940.0,1430.0,1330.0,365.0,10945.0,1055.0,2980.0,2710.0,3345.0,930.0,4565.0,9005.0,2930.0,5245.0,435.0
15,Black Creek,24.0,2220.0,1455.0,1160.0,810.0,8115.0,1180.0,3670.0,2455.0,900.0,40.0,3245.0,2890.0,6420.0,5195.0,535.0
16,Blake-Jones,69.0,1005.0,505.0,405.0,180.0,3740.0,345.0,1085.0,705.0,1105.0,320.0,1180.0,4145.0,1175.0,1345.0,150.0
17,Briar Hill-Belgravia,108.0,1840.0,1095.0,770.0,220.0,7635.0,725.0,2235.0,2000.0,1375.0,165.0,2895.0,6065.0,2545.0,3080.0,415.0
18,Bridle Path-Sunnybrook-York Mills,41.0,1085.0,565.0,620.0,365.0,4155.0,360.0,325.0,470.0,2370.0,1705.0,760.0,7785.0,615.0,1500.0,80.0
19,Broadview North,57.0,1625.0,710.0,475.0,130.0,6035.0,540.0,2470.0,1765.0,1230.0,320.0,2105.0,5965.0,1665.0,2295.0,310.0
20,Brookhaven-Amesbury,30.0,2060.0,1380.0,1015.0,455.0,8195.0,915.0,3050.0,2215.0,1225.0,150.0,3375.0,3550.0,4270.0,4150.0,640.0
21,Cabbagetown-South St. James Town,71.0,1870.0,420.0,225.0,70.0,6695.0,585.0,2300.0,1760.0,1925.0,700.0,2055.0,8410.0,770.0,2065.0,200.0
22,Caledonia-Fairbank,109.0,1235.0,810.0,605.0,180.0,5145.0,400.0,1395.0,1245.0,1040.0,80.0,1895.0,2105.0,2925.0,2175.0,265.0
23,Casa Loma,96.0,1780.0,490.0,420.0,190.0,6055.0,425.0,1365.0,1350.0,2535.0,1325.0,1425.0,9600.0,490.0,1690.0,130.0
24,Centennial Scarborough,133.0,1630.0,975.0,1055.0,360.0,6635.0,545.0,600.0,1240.0,2545.0,715.0,2795.0,7180.0,1295.0,2820.0,235.0
25,Church-Yonge Corridor,75.0,4680.0,850.0,280.0,90.0,19990.0,1865.0,7270.0,5940.0,4840.0,1130.0,4935.0,28365.0,1220.0,5510.0,480.0
26,Clairlea-Birchmount,120.0,2915.0,2005.0,1780.0,650.0,12960.0,1240.0,3235.0,3175.0,2785.0,340.0,5010.0,9885.0,4215.0,6165.0,570.0
27,Clanton Park,33.0,1960.0,1070.0,870.0,445.0,8710.0,565.0,2090.0,2070.0,2135.0,690.0,2965.0,9175.0,1735.0,3245.0,425.0
28,Cliffcrest,123.0,1815.0,1110.0,1080.0,400.0,7410.0,795.0,1865.0,1710.0,2135.0,495.0,3235.0,6330.0,2165.0,3925.0,280.0
29,Corso Italia-Davenport,92.0,1950.0,1040.0,775.0,230.0,7710.0,600.0,1860.0,1710.0,1840.0,325.0,2255.0,5585.0,3390.0,2875.0,385.0
30,Danforth,66.0,1105.0,665.0,610.0,175.0,5105.0,340.0,1170.0,945.0,1570.0,520.0,1410.0,5625.0,1440.0,1670.0,140.0
31,Danforth East York,59.0,2240.0,1260.0,1085.0,270.0,8770.0,650.0,2145.0,1880.0,2820.0,685.0,2920.0,8920.0,2500.0,3045.0,350.0
32,Don Valley Village,47.0,3300.0,2205.0,1620.0,495.0,12540.0,1330.0,3580.0,3390.0,2755.0,530.0,4845.0,16230.0,2505.0,5220.0,500.0
33,Dorset Park,126.0,2755.0,1860.0,1450.0,665.0,11495.0,1230.0,3650.0,3210.0,1830.0,145.0,4685.0,8720.0,3975.0,5985.0,545.0
34,Dovercourt-Wallace Emerson-Junction,93.0,4945.0,2390.0,1620.0,485.0,20710.0,1610.0,5615.0,4840.0,4435.0,710.0,5800.0,18440.0,7105.0,7335.0,755.0
35,Downsview-Roding-CFB,26.0,4375.0,2520.0,2005.0,790.0,16630.0,1420.0,5615.0,4450.0,3015.0,355.0,6790.0,8195.0,8590.0,8365.0,1065.0
36,Dufferin Grove,83.0,1725.0,615.0,470.0,130.0,6995.0,565.0,2180.0,1710.0,1385.0,265.0,1985.0,6790.0,2150.0,2125.0,195.0
37,East End-Danforth,62.0,2645.0,1460.0,1250.0,355.0,11125.0,990.0,3195.0,2235.0,3340.0,950.0,3865.0,11730.0,2290.0,3915.0,365.0
38,Edenbridge-Humber Valley,9.0,2120.0,1015.0,890.0,355.0,7915.0,510.0,1745.0,1905.0,2575.0,1290.0,2660.0,8760.0,1725.0,3175.0,335.0
39,Eglinton East,138.0,2455.0,1630.0,1365.0,665.0,9540.0,1155.0,3735.0,2755.0,1445.0,135.0,4265.0,6485.0,3925.0,5645.0,605.0
40,Elms-Old Rexdale,5.0,1040.0,700.0,510.0,325.0,4175.0,465.0,1325.0,1180.0,730.0,60.0,1770.0,2030.0,1870.0,2620.0,255.0
41,Englemount-Lawrence,32.0,2150.0,1215.0,960.0,935.0,9805.0,955.0,3125.0,2550.0,2155.0,755.0,3690.0,10135.0,2675.0,4340.0,505.0
42,Eringate-Centennial-West Deane,11.0,2380.0,1420.0,1265.0,405.0,9355.0,750.0,1690.0,2210.0,2995.0,590.0,3840.0,8590.0,2435.0,4225.0,470.0
43,Etobicoke West Mall,13.0,1460.0,855.0,665.0,230.0,5915.0,505.0,1630.0,1715.0,1200.0,150.0,2340.0,4735.0,1730.0,2715.0,290.0
44,Flemingdon Park,44.0,2205.0,1350.0,1260.0,905.0,8865.0,1050.0,3700.0,2720.0,1130.0,105.0,3550.0,8455.0,3825.0,4850.0,390.0
45,Forest Hill North,102.0,1500.0,735.0,740.0,320.0,6960.0,560.0,1780.0,1570.0,1925.0,1025.0,2010.0,8790.0,880.0,2190.0,215.0
46,Forest Hill South,101.0,1525.0,450.0,525.0,290.0,5765.0,340.0,1265.0,1190.0,2365.0,1465.0,1325.0,8890.0,690.0,1605.0,90.0
47,Glenfield-Jane Heights,25.0,3375.0,2230.0,1755.0,905.0,11895.0,1550.0,4725.0,3295.0,1835.0,140.0,4750.0,3880.0,9560.0,7190.0,790.0
48,Greenwood-Coxwell,65.0,1850.0,985.0,795.0,245.0,7660.0,595.0,2045.0,1610.0,2115.0,470.0,2425.0,7925.0,1960.0,2710.0,235.0
49,Guildwood,140.0,1460.0,655.0,560.0,175.0,4575.0,395.0,1030.0,1310.0,1715.0,410.0,2150.0,4745.0,1080.0,2225.0,200.0
50,Henry Farm,53.0,1900.0,1140.0,800.0,310.0,7720.0,890.0,2340.0,2235.0,1320.0,230.0,2600.0,10705.0,1210.0,2765.0,260.0
51,High Park North,88.0,3295.0,1210.0,1005.0,220.0,12740.0,970.0,3665.0,3340.0,3565.0,1095.0,3710.0,16710.0,1535.0,3250.0,375.0
52,High Park-Swansea,87.0,3300.0,1360.0,1265.0,360.0,13650.0,865.0,2945.0,3225.0,4485.0,1735.0,3875.0,17745.0,1575.0,3385.0,315.0
53,Highland Creek,134.0,1335.0,920.0,845.0,400.0,6095.0,565.0,745.0,1065.0,1890.0,440.0,2715.0,5410.0,1625.0,3200.0,345.0
54,Hillcrest Village,48.0,2295.0,1400.0,1010.0,250.0,7270.0,660.0,1940.0,1745.0,2215.0,480.0,2895.0,10880.0,1865.0,3400.0,210.0
55,Humber Heights-Westmount,8.0,1430.0,710.0,585.0,195.0,4745.0,380.0,1410.0,1370.0,1340.0,320.0,2155.0,4060.0,1555.0,2305.0,305.0
56,Humber Summit,21.0,1390.0,810.0,820.0,435.0,5200.0,555.0,1685.0,1365.0,970.0,115.0,2035.0,2540.0,3495.0,2990.0,300.0
57,Humbermede,22.0,1735.0,1100.0,905.0,545.0,6865.0,780.0,2080.0,1895.0,1055.0,95.0,2665.0,3460.0,3635.0,3825.0,500.0
58,Humewood-Cedarvale,106.0,1805.0,780.0,780.0,240.0,8265.0,630.0,2425.0,1815.0,2045.0,935.0,2430.0,10065.0,1125.0,2225.0,225.0
59,Ionview,125.0,1730.0,940.0,785.0,320.0,6295.0,610.0,2355.0,1845.0,900.0,70.0,2735.0,4475.0,2385.0,3260.0,315.0
60,Islington-City Centre West,14.0,6390.0,2835.0,2095.0,715.0,23805.0,1870.0,5820.0,6605.0,6445.0,1665.0,8505.0,26240.0,4440.0,8415.0,880.0
61,Junction Area,90.0,1890.0,910.0,790.0,195.0,8390.0,500.0,1885.0,1895.0,2120.0,470.0,2390.0,8680.0,1695.0,2510.0,300.0
62,Keelesdale-Eglinton West,110.0,1350.0,815.0,650.0,230.0,5155.0,485.0,1650.0,1345.0,1015.0,90.0,1725.0,2050.0,3640.0,2675.0,280.0
63,Kennedy Park,124.0,2010.0,1145.0,995.0,420.0,7730.0,775.0,3050.0,2085.0,1245.0,115.0,3430.0,5270.0,2990.0,4410.0,480.0
64,Kensington-Chinatown,78.0,2070.0,735.0,395.0,175.0,9290.0,825.0,3715.0,2280.0,1665.0,365.0,2410.0,10750.0,2850.0,4205.0,295.0
65,Kingsview Village-The Westway,6.0,2640.0,1370.0,1175.0,770.0,9245.0,1020.0,3105.0,2815.0,1875.0,330.0,3890.0,6540.0,4170.0,5505.0,465.0
66,Kingsway South,15.0,1200.0,540.0,685.0,245.0,4440.0,360.0,500.0,730.0,2335.0,1400.0,1195.0,7325.0,545.0,1290.0,100.0
67,Lambton Baby Point,114.0,935.0,530.0,565.0,200.0,3885.0,320.0,960.0,650.0,1400.0,645.0,1105.0,4830.0,855.0,1215.0,160.0
68,L'Amoreaux,117.0,5415.0,3370.0,2590.0,1010.0,18855.0,2300.0,5865.0,5110.0,3680.0,550.0,8220.0,17385.0,8055.0,10555.0,765.0
69,Lansing-Westgate,38.0,2090.0,985.0,960.0,340.0,8530.0,665.0,1830.0,1785.0,2675.0,1095.0,2360.0,12295.0,1050.0,2740.0,145.0
70,Lawrence Park North,105.0,1435.0,950.0,1285.0,385.0,7435.0,505.0,885.0,1015.0,3405.0,2025.0,1515.0,11555.0,870.0,1745.0,135.0
71,Lawrence Park South,103.0,1635.0,840.0,1170.0,515.0,7740.0,625.0,1005.0,1025.0,3660.0,2375.0,1500.0,12660.0,945.0,1815.0,120.0
72,Leaside-Bennington,56.0,1705.0,995.0,1365.0,490.0,8510.0,635.0,1220.0,1340.0,3775.0,2260.0,2085.0,12795.0,1125.0,2350.0,125.0
73,Little Portugal,84.0,2175.0,780.0,500.0,115.0,9965.0,685.0,2560.0,2590.0,2105.0,415.0,2425.0,10070.0,2385.0,2775.0,230.0
74,Long Branch,19.0,1500.0,630.0,450.0,110.0,5725.0,440.0,1825.0,1595.0,1265.0,300.0,2245.0,4480.0,1320.0,2340.0,225.0
75,Malvern,132.0,4330.0,3040.0,2860.0,1680.0,19925.0,2335.0,4830.0,5260.0,3280.0,225.0,8560.0,13080.0,7345.0,11575.0,1155.0
76,Maple Leaf,29.0,1215.0,720.0,655.0,210.0,4735.0,415.0,1360.0,1275.0,955.0,200.0,1675.0,2985.0,2395.0,2380.0,330.0
77,Markland Wood,12.0,1480.0,720.0,670.0,185.0,5115.0,335.0,1080.0,1365.0,1875.0,575.0,2050.0,6205.0,1070.0,2255.0,205.0
78,Milliken,130.0,3210.0,2140.0,1650.0,575.0,11035.0,1160.0,2735.0,2750.0,2070.0,295.0,3975.0,8590.0,6320.0,7115.0,340.0
79,Mimico (includes Humber Bay Shores),17.0,5600.0,1905.0,1110.0,270.0,19865.0,1305.0,5750.0,5670.0,5455.0,1245.0,7565.0,19970.0,3570.0,6410.0,760.0
80,Morningside,135.0,1900.0,1160.0,1065.0,550.0,7770.0,995.0,2295.0,1915.0,1515.0,205.0,3810.0,5750.0,2465.0,4345.0,450.0
81,Moss Park,73.0,2830.0,610.0,255.0,160.0,11485.0,845.0,4715.0,2880.0,3005.0,800.0,3190.0,14440.0,1680.0,3415.0,290.0
82,Mount Dennis,115.0,1580.0,1055.0,680.0,305.0,6150.0,745.0,2375.0,1825.0,860.0,50.0,2635.0,2900.0,2810.0,3385.0,375.0
83,Mount Olive-Silverstone-Jamestown,2.0,2850.0,2255.0,2135.0,1390.0,12975.0,1785.0,4395.0,3810.0,1705.0,110.0,4945.0,7735.0,7895.0,7785.0,680.0
84,Mount Pleasant East,99.0,2025.0,1035.0,1180.0,260.0,9050.0,670.0,1800.0,1845.0,3560.0,1740.0,2325.0,13195.0,1015.0,2280.0,185.0
85,Mount Pleasant West,104.0,4560.0,1390.0,665.0,125.0,18450.0,1330.0,6000.0,5970.0,4495.0,1095.0,5260.0,25155.0,1500.0,4475.0,380.0
86,New Toronto,18.0,1525.0,685.0,510.0,165.0,5895.0,565.0,2300.0,1415.0,1335.0,225.0,2525.0,5000.0,1610.0,2505.0,255.0
87,Newtonbrook East,50.0,2015.0,1135.0,885.0,225.0,7375.0,710.0,2010.0,1685.0,1830.0,535.0,2500.0,11475.0,1485.0,3005.0,215.0
88,Newtonbrook West,36.0,3110.0,1800.0,1210.0,395.0,11390.0,1050.0,3530.0,2660.0,2170.0,470.0,4345.0,13680.0,2450.0,5515.0,605.0
89,Niagara,82.0,5430.0,1160.0,450.0,85.0,23490.0,1110.0,4770.0,6680.0,6795.0,1535.0,5930.0,29750.0,1280.0,3805.0,360.0
90,North Riverdale,68.0,1480.0,695.0,770.0,190.0,6780.0,380.0,1365.0,1255.0,2280.0,1055.0,1490.0,8540.0,1040.0,1850.0,155.0
91,North St. James Town,74.0,2155.0,960.0,580.0,255.0,9715.0,1125.0,4880.0,2680.0,1170.0,170.0,3585.0,10780.0,2040.0,3805.0,335.0
92,Oakridge,121.0,1305.0,865.0,755.0,465.0,5250.0,900.0,2940.0,1425.0,635.0,50.0,2255.0,4790.0,2270.0,3020.0,265.0
93,Oakwood Village,107.0,2695.0,1590.0,1105.0,305.0,10920.0,800.0,3485.0,2530.0,2340.0,450.0,3555.0,8665.0,4450.0,4175.0,570.0
94,O'Connor-Parkview,54.0,2325.0,1175.0,1050.0,455.0,8620.0,970.0,2950.0,2220.0,2095.0,515.0,3790.0,6990.0,2905.0,4240.0,510.0
95,Old East York,58.0,1225.0,615.0,580.0,160.0,4870.0,255.0,1185.0,1090.0,1485.0,430.0,1765.0,4305.0,1340.0,1930.0,265.0
96,Palmerston-Little Italy,80.0,1915.0,660.0,505.0,115.0,8640.0,630.0,2130.0,1825.0,2225.0,650.0,1885.0,10300.0,1795.0,2410.0,190.0
97,Parkwoods-Donalda,45.0,4155.0,2515.0,2145.0,850.0,16565.0,1685.0,4695.0,4545.0,3795.0,890.0,6955.0,16245.0,4140.0,7660.0,700.0
98,Pelmo Park-Humberlea,23.0,1260.0,775.0,765.0,260.0,5520.0,355.0,1105.0,1300.0,1355.0,190.0,2220.0,2950.0,2210.0,2635.0,320.0
99,Playter Estates-Danforth,67.0,970.0,400.0,435.0,130.0,4385.0,300.0,1105.0,940.0,1350.0,630.0,1155.0,5555.0,635.0,1190.0,125.0
100,Pleasant View,46.0,2035.0,1290.0,965.0,270.0,7315.0,810.0,1815.0,1835.0,1775.0,295.0,2950.0,7990.0,2355.0,3495.0,345.0
101,Princess-Rosethorn,10.0,1340.0,755.0,920.0,300.0,5520.0,355.0,580.0,830.0,2450.0,1270.0,1685.0,7595.0,955.0,2005.0,155.0
102,Regent Park,72.0,1225.0,515.0,400.0,330.0,5120.0,545.0,2500.0,1405.0,745.0,150.0,1580.0,5325.0,1870.0,2335.0,170.0
103,Rexdale-Kipling,4.0,1255.0,760.0,620.0,250.0,4880.0,600.0,1450.0,1295.0,1040.0,95.0,2140.0,2935.0,1960.0,2675.0,330.0
104,Rockcliffe-Smythe,111.0,2840.0,1515.0,1160.0,495.0,10180.0,1030.0,3855.0,2845.0,2005.0,165.0,4140.0,4825.0,5695.0,5470.0,735.0
105,Roncesvalles,86.0,1900.0,810.0,740.0,240.0,8415.0,600.0,2450.0,1880.0,2145.0,675.0,2300.0,9195.0,1800.0,2725.0,265.0
106,Rosedale-Moore Park,98.0,3165.0,955.0,965.0,435.0,10815.0,695.0,2015.0,2420.0,5265.0,3055.0,2440.0,18335.0,1045.0,2870.0,210.0
107,Rouge,131.0,4415.0,3215.0,3600.0,1645.0,22625.0,2010.0,2785.0,4635.0,6060.0,1075.0,9585.0,16600.0,6580.0,11740.0,1020.0
108,Runnymede-Bloor West Village,89.0,1165.0,715.0,825.0,180.0,5535.0,295.0,765.0,920.0,2110.0,875.0,1375.0,6815.0,960.0,1385.0,110.0
109,Rustic,28.0,1220.0,705.0,555.0,260.0,3735.0,375.0,1865.0,995.0,665.0,115.0,1740.0,1485.0,2550.0,2420.0,315.0
110,Scarborough Village,139.0,1685.0,1085.0,975.0,605.0,6560.0,980.0,2895.0,1865.0,1080.0,195.0,3030.0,4935.0,2955.0,3785.0,355.0
111,South Parkdale,85.0,2715.0,970.0,610.0,210.0,12020.0,1125.0,5900.0,3170.0,1505.0,240.0,4570.0,10430.0,3050.0,4520.0,535.0
112,South Riverdale,70.0,3870.0,1710.0,1300.0,365.0,15470.0,1070.0,3700.0,3250.0,4645.0,1435.0,4485.0,16145.0,4050.0,4820.0,360.0
113,St.Andrew-Windfields,40.0,2160.0,1280.0,1215.0,470.0,8475.0,770.0,1495.0,1590.0,3215.0,1745.0,2545.0,12525.0,1440.0,3135.0,145.0
114,Steeles,116.0,3335.0,2030.0,1445.0,405.0,9990.0,1045.0,2800.0,2590.0,2245.0,380.0,3735.0,10430.0,4975.0,6235.0,395.0
115,Stonegate-Queensway,16.0,3305.0,1730.0,1675.0,395.0,13125.0,935.0,2920.0,2810.0,4470.0,1715.0,4555.0,14550.0,2720.0,4565.0,505.0
116,Tam O'Shanter-Sullivan,118.0,3595.0,1965.0,1540.0,605.0,11730.0,1175.0,4015.0,3280.0,2455.0,400.0,4865.0,12100.0,4460.0,6350.0,555.0
117,Taylor-Massey,61.0,1715.0,1085.0,920.0,335.0,7030.0,910.0,3205.0,2075.0,830.0,75.0,2600.0,7230.0,2030.0,3065.0,305.0
118,The Beaches,63.0,2855.0,1285.0,1390.0,410.0,11985.0,725.0,2260.0,2245.0,4740.0,2265.0,3255.0,15530.0,1455.0,3420.0,255.0
119,Thistletown-Beaumond Heights,3.0,1155.0,715.0,615.0,320.0,4540.0,525.0,1230.0,1140.0,940.0,120.0,2030.0,2960.0,2075.0,2340.0,265.0
120,Thorncliffe Park,55.0,1665.0,1060.0,1120.0,1205.0,7415.0,1070.0,3585.0,2345.0,925.0,100.0,2710.0,8465.0,3195.0,4015.0,265.0
121,Trinity-Bellwoods,81.0,2315.0,905.0,645.0,170.0,9440.0,610.0,2285.0,2045.0,2445.0,730.0,2155.0,9625.0,3115.0,3275.0,190.0
122,University,79.0,895.0,290.0,175.0,40.0,4035.0,365.0,1265.0,850.0,1010.0,340.0,830.0,5675.0,520.0,1190.0,105.0
123,Victoria Village,43.0,2220.0,1165.0,875.0,370.0,7745.0,870.0,3225.0,2375.0,1445.0,240.0,3615.0,6645.0,2930.0,3780.0,475.0
124,Waterfront Communities-The Island,77.0,11035.0,2275.0,845.0,245.0,48470.0,2640.0,10340.0,13520.0,14995.0,3850.0,9365.0,71375.0,1900.0,8340.0,625.0
125,West Hill,136.0,3070.0,1865.0,1525.0,820.0,11585.0,1515.0,4195.0,3145.0,2340.0,300.0,5890.0,7660.0,4990.0,6425.0,765.0
126,West Humber-Clairville,1.0,3450.0,2300.0,2145.0,950.0,16140.0,1705.0,3250.0,3870.0,3085.0,310.0,6415.0,10825.0,5905.0,8510.0,835.0
127,Westminster-Branson,35.0,3520.0,1980.0,1330.0,470.0,12780.0,1290.0,4245.0,3420.0,2015.0,305.0,5360.0,14805.0,2745.0,5540.0,585.0
128,Weston,113.0,2190.0,1170.0,765.0,420.0,8105.0,965.0,3670.0,2155.0,1360.0,175.0,3855.0,4310.0,3630.0,4180.0,540.0
129,Weston-Pelham Park,91.0,1305.0,800.0,620.0,245.0,5460.0,505.0,1745.0,1230.0,1140.0,80.0,1835.0,2830.0,3095.0,2590.0,285.0
130,Wexford/Maryvale,119.0,3295.0,1950.0,1605.0,715.0,13055.0,1285.0,3820.0,3395.0,2740.0,330.0,5595.0,9410.0,4395.0,7240.0,800.0
131,Willowdale East,51.0,6805.0,3875.0,2525.0,550.0,24770.0,2300.0,7095.0,6610.0,6405.0,1605.0,7000.0,41920.0,3110.0,8580.0,535.0
132,Willowdale West,37.0,2350.0,1090.0,820.0,210.0,7760.0,845.0,2395.0,1915.0,2320.0,640.0,2600.0,12625.0,1405.0,3140.0,205.0
133,Willowridge-Martingrove-Richview,7.0,2850.0,1515.0,1420.0,510.0,9940.0,920.0,2875.0,2740.0,2895.0,655.0,4050.0,9305.0,3440.0,5205.0,615.0
134,Woburn,137.0,5930.0,3675.0,3200.0,1620.0,22505.0,2665.0,7505.0,6305.0,3980.0,430.0,9485.0,19140.0,8850.0,13170.0,1025.0
135,Woodbine Corridor,64.0,1645.0,840.0,780.0,160.0,6715.0,560.0,1770.0,1275.0,2190.0,610.0,2170.0,7255.0,1430.0,2065.0,225.0
136,Woodbine-Lumsden,60.0,1125.0,565.0,410.0,95.0,4380.0,310.0,1055.0,1030.0,1245.0,210.0,1485.0,3815.0,1015.0,1760.0,190.0
137,Wychwood,94.0,1820.0,765.0,680.0,195.0,7470.0,410.0,2025.0,1680.0,1895.0,610.0,2245.0,7860.0,1860.0,2285.0,220.0
138,Yonge-Eglinton,100.0,1555.0,680.0,665.0,170.0,6815.0,505.0,1580.0,1590.0,2340.0,1110.0,1595.0,10250.0,575.0,1430.0,140.0
139,Yonge-St.Clair,97.0,2130.0,535.0,380.0,115.0,7245.0,455.0,1955.0,2030.0,2865.0,1380.0,1870.0,10940.0,460.0,1820.0,165.0
140,York University Heights,27.0,3150.0,1845.0,1395.0,610.0,13235.0,1585.0,4410.0,3530.0,1955.0,195.0,5035.0,9805.0,5125.0,6980.0,830.0
141,Yorkdale-Glen Park,31.0,1835.0,1035.0,740.0,330.0,6670.0,580.0,2020.0,1730.0,1550.0,325.0,2415.0,4220.0,3445.0,3385.0,425.0
